,IEEE_123_feeder_0/charge_EV6,IEEE_123_feeder_0/charge_EV5,IEEE_123_feeder_0/charge_EV4,IEEE_123_feeder_0/charge_EV3,IEEE_123_feeder_0/charge_EV2,IEEE_123_feeder_0/charge_EV1,time,feeder_load(real)
96,200.0,200.0,200.0,200.0,200.0,200.0,8.0,3239.79218476375
97,200.0,200.0,200.0,200.0,200.0,200.0,8.083333333333334,3279.864525748141
98,200.0,200.0,200.0,200.0,200.0,200.0,8.166666666666666,3293.0943764669532
99,200.0,200.0,200.0,200.0,200.0,200.0,8.25,3319.477608755975
100,200.0,200.0,200.0,200.0,200.0,200.0,8.333333333333334,3395.6183078670174
101,200.0,200.0,200.0,200.0,200.0,200.0,8.416666666666666,3450.507060408719
102,200.0,200.0,200.0,200.0,200.0,200.0,8.5,3455.4379186219107
103,200.0,200.0,200.0,200.0,200.0,200.0,8.583333333333334,3476.898249665831
104,200.0,200.0,200.0,200.0,200.0,200.0,8.666666666666666,3498.890512497796
105,200.0,200.0,200.0,200.0,200.0,200.0,8.75,3493.2442687104462
106,200.0,200.0,200.0,200.0,200.0,200.0,8.833333333333334,3559.455341899969
107,200.0,200.0,200.0,200.0,200.0,200.0,8.916666666666666,3585.2440893843614
108,200.0,200.0,200.0,200.0,200.0,200.0,9.0,3616.889411256246
109,200.0,200.0,200.0,200.0,200.0,200.0,9.083333333333334,3659.6659964150767
110,200.0,200.0,200.0,200.0,200.0,200.0,9.166666666666666,3625.9157739363677
111,200.0,200.0,200.0,200.0,200.0,200.0,9.25,3642.51576022175
112,200.0,200.0,200.0,200.0,200.0,200.0,9.333333333333334,3694.8649465257263
113,200.0,200.0,200.0,200.0,200.0,200.0,9.416666666666666,3690.8274464918377
114,200.0,200.0,200.0,200.0,200.0,200.0,9.5,3769.5878379685596
115,200.0,200.0,200.0,200.0,200.0,200.0,9.583333333333334,3802.913265637971
116,200.0,200.0,200.0,200.0,200.0,200.0,9.666666666666666,3701.9132196868463
117,200.0,200.0,200.0,200.0,200.0,200.0,9.75,3770.763641064105
118,200.0,200.0,200.0,200.0,200.0,200.0,9.833333333333334,3859.8605435982868
119,200.0,200.0,200.0,200.0,200.0,200.0,9.916666666666666,3894.6310926374226
120,200.0,200.0,200.0,200.0,200.0,200.0,10.0,3889.453045547805
121,200.0,200.0,200.0,200.0,200.0,200.0,10.083333333333334,3861.8207739105214
122,200.0,200.0,200.0,200.0,200.0,200.0,10.166666666666666,3880.603194947582
123,200.0,200.0,200.0,200.0,200.0,200.0,10.25,3940.603840504956
124,200.0,200.0,200.0,200.0,200.0,200.0,10.333333333333334,3977.282707369668
125,200.0,200.0,200.0,200.0,200.0,200.0,10.416666666666666,3978.53995641674
126,200.0,200.0,200.0,200.0,200.0,200.0,10.5,3983.712427041882
127,200.0,200.0,200.0,200.0,200.0,200.0,10.583333333333334,3966.184136459379
128,200.0,200.0,200.0,200.0,200.0,200.0,10.666666666666666,4132.108694491233
129,200.0,200.0,200.0,200.0,200.0,200.0,10.75,4123.576213584494
130,200.0,200.0,200.0,200.0,200.0,200.0,10.833333333333334,4084.192225474759
131,0.0,200.0,200.0,200.0,200.0,200.0,10.916666666666666,3909.591203280995
132,0.0,0.0,200.0,200.0,200.0,200.0,11.0,3729.941610838493
133,0.0,0.0,0.0,200.0,200.0,200.0,11.083333333333334,3521.1026470370284
134,0.0,0.0,0.0,200.0,200.0,200.0,11.166666666666666,3502.9812111898227
135,0.0,0.0,0.0,200.0,200.0,200.0,11.25,3533.4318493775986
136,0.0,0.0,0.0,200.0,200.0,200.0,11.333333333333334,3676.788005615553
137,0.0,0.0,0.0,200.0,200.0,200.0,11.416666666666666,3716.5094152747215
138,0.0,0.0,0.0,200.0,200.0,200.0,11.5,3675.1727026492854
139,0.0,0.0,0.0,200.0,200.0,200.0,11.583333333333334,3676.283547613204
140,0.0,0.0,0.0,200.0,200.0,200.0,11.666666666666666,3642.436067752758
141,0.0,0.0,0.0,200.0,200.0,200.0,11.75,3696.401912815795
142,0.0,0.0,0.0,200.0,200.0,200.0,11.833333333333334,3802.2323056485634
143,0.0,0.0,0.0,200.0,200.0,200.0,11.916666666666666,3815.890425828949
144,0.0,0.0,0.0,200.0,200.0,200.0,12.0,3806.3327684301494
145,0.0,0.0,0.0,200.0,200.0,200.0,12.083333333333334,3798.8233908826496
146,0.0,0.0,0.0,200.0,200.0,200.0,12.166666666666666,3825.8639884353643
147,0.0,0.0,0.0,200.0,200.0,200.0,12.25,3859.203640263591
148,0.0,0.0,0.0,200.0,200.0,200.0,12.333333333333334,3971.299367847557
149,0.0,0.0,0.0,200.0,200.0,200.0,12.416666666666666,3923.559093652048
150,0.0,0.0,0.0,200.0,200.0,200.0,12.5,4010.242782708439
151,0.0,0.0,0.0,200.0,200.0,200.0,12.583333333333334,4007.281696799289
152,0.0,0.0,0.0,200.0,200.0,200.0,12.666666666666666,4009.908349207905
153,0.0,0.0,0.0,0.0,200.0,200.0,12.75,3816.7183051637758
154,0.0,0.0,0.0,0.0,0.0,200.0,12.833333333333334,3668.8399248227042
155,0.0,0.0,0.0,0.0,0.0,0.0,12.916666666666666,3525.4984679754266
156,0.0,0.0,0.0,0.0,0.0,0.0,13.0,3541.427882056605
157,0.0,0.0,0.0,0.0,0.0,0.0,13.083333333333334,3532.748951455101
158,0.0,0.0,0.0,0.0,0.0,0.0,13.166666666666666,3604.966993578796
159,0.0,0.0,0.0,0.0,0.0,0.0,13.25,3548.1170841744342
160,0.0,0.0,0.0,0.0,0.0,0.0,13.333333333333334,3509.1575673541683
161,0.0,0.0,0.0,0.0,0.0,0.0,13.416666666666666,3617.3992422924553
162,0.0,0.0,0.0,0.0,0.0,0.0,13.5,3537.1708996228062
163,0.0,0.0,0.0,0.0,0.0,0.0,13.583333333333334,3449.219966845691
164,0.0,0.0,0.0,0.0,0.0,0.0,13.666666666666666,3567.1931375023964
165,0.0,0.0,0.0,0.0,0.0,0.0,13.75,3670.75509766964
166,0.0,0.0,0.0,0.0,0.0,0.0,13.833333333333334,3623.0514954018977
167,0.0,0.0,0.0,0.0,0.0,0.0,13.916666666666666,3552.382598275132
168,0.0,0.0,0.0,0.0,0.0,0.0,14.0,3517.815128879641
169,0.0,0.0,0.0,0.0,0.0,0.0,14.083333333333334,3658.8399044722646
170,0.0,0.0,0.0,0.0,0.0,0.0,14.166666666666666,3607.8878769515445
171,0.0,0.0,0.0,0.0,0.0,0.0,14.25,3625.7692662971663
172,0.0,0.0,0.0,0.0,0.0,0.0,14.333333333333334,3582.41853005152
173,0.0,0.0,0.0,0.0,0.0,0.0,14.416666666666666,3695.894994202912
174,0.0,0.0,0.0,0.0,0.0,0.0,14.5,3646.9166052002342
175,0.0,0.0,0.0,0.0,0.0,0.0,14.583333333333334,3608.3189493039017
176,0.0,0.0,0.0,0.0,0.0,0.0,14.666666666666666,3678.4016322427824
177,0.0,0.0,0.0,0.0,0.0,0.0,14.75,3675.254183386037
178,0.0,0.0,0.0,0.0,0.0,0.0,14.833333333333334,3736.7461743303656
179,0.0,0.0,0.0,0.0,0.0,0.0,14.916666666666666,3695.5299882232016
180,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3702.711657761397
181,0.0,0.0,0.0,0.0,0.0,0.0,15.083333333333334,3571.233428355841
182,0.0,0.0,0.0,0.0,0.0,0.0,15.166666666666666,3442.8714507184936
183,0.0,0.0,0.0,0.0,0.0,0.0,15.25,3515.977283348075
184,0.0,0.0,0.0,0.0,0.0,0.0,15.333333333333334,3515.2492796931483
185,0.0,0.0,0.0,0.0,0.0,0.0,15.416666666666666,3584.8563174116985
186,0.0,0.0,0.0,0.0,0.0,0.0,15.5,3609.825495479849
187,0.0,0.0,0.0,0.0,0.0,0.0,15.583333333333334,3366.7810650945426
188,0.0,0.0,0.0,0.0,0.0,0.0,15.666666666666666,3626.979624776388
189,0.0,0.0,0.0,0.0,0.0,0.0,15.75,3557.7552441933362
190,0.0,0.0,0.0,0.0,0.0,0.0,15.833333333333334,3529.8933935921277
191,0.0,0.0,0.0,0.0,0.0,0.0,15.916666666666666,3493.0060756904836
192,0.0,0.0,0.0,0.0,0.0,0.0,16.0,3561.7731956197554
193,0.0,0.0,0.0,0.0,0.0,0.0,16.083333333333332,3637.4546497035876
194,0.0,0.0,0.0,0.0,0.0,0.0,16.166666666666668,3470.6150322101903
195,0.0,0.0,0.0,0.0,0.0,0.0,16.25,3594.5784138099225
196,0.0,0.0,0.0,0.0,0.0,0.0,16.333333333333332,3641.692401556516
197,0.0,0.0,0.0,0.0,0.0,0.0,16.416666666666668,3392.175734047792
198,0.0,0.0,0.0,0.0,0.0,0.0,16.5,3649.348584603818
199,0.0,0.0,0.0,0.0,0.0,0.0,16.583333333333332,3572.940229175834
200,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666668,3531.188302237559
201,0.0,0.0,0.0,0.0,0.0,0.0,16.75,3451.8454185249516
202,0.0,0.0,0.0,0.0,0.0,0.0,16.833333333333332,3459.0231143050314
203,0.0,0.0,0.0,0.0,0.0,0.0,16.916666666666668,3479.53152544845
204,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3343.5613857409107
205,0.0,0.0,0.0,0.0,0.0,0.0,17.083333333333332,3393.185383002591
206,0.0,0.0,0.0,0.0,0.0,0.0,17.166666666666668,3317.1222368753024
207,0.0,0.0,0.0,0.0,0.0,0.0,17.25,3419.376567217374
208,0.0,0.0,0.0,0.0,0.0,0.0,17.333333333333332,3247.7963895053817
209,0.0,0.0,0.0,0.0,0.0,0.0,17.416666666666668,3401.5052744724258
210,0.0,0.0,0.0,0.0,0.0,0.0,17.5,3190.603288880019
211,0.0,0.0,0.0,0.0,0.0,0.0,17.583333333333332,3341.65795088765
212,0.0,0.0,0.0,0.0,0.0,0.0,17.666666666666668,3153.078617218577
213,0.0,0.0,0.0,0.0,0.0,0.0,17.75,3127.2452703086674
214,0.0,0.0,0.0,0.0,0.0,0.0,17.833333333333332,3213.312439666822
215,0.0,0.0,0.0,0.0,0.0,0.0,17.916666666666668,3076.7345452581644
216,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3147.771780493468
217,0.0,0.0,0.0,0.0,0.0,0.0,18.083333333333332,3268.832677093005
218,0.0,0.0,0.0,0.0,0.0,0.0,18.166666666666668,3023.1395487876953
219,0.0,0.0,0.0,0.0,0.0,0.0,18.25,2991.59085782696
220,0.0,0.0,0.0,0.0,0.0,0.0,18.333333333333332,2983.9118270504687
221,0.0,0.0,0.0,0.0,0.0,0.0,18.416666666666668,2904.44080170691
222,0.0,0.0,0.0,0.0,0.0,0.0,18.5,2893.3582735439436
223,0.0,0.0,0.0,0.0,0.0,0.0,18.583333333333332,2951.2007798548207
224,0.0,0.0,0.0,0.0,0.0,0.0,18.666666666666668,2866.637245485174
225,0.0,0.0,0.0,0.0,0.0,0.0,18.75,2646.969695606117
226,0.0,0.0,0.0,0.0,0.0,0.0,18.833333333333332,2693.000492621716
